Age,Income ,Spending_Score ,Work_Experience,Family_Size,Gender
19,15000,39,1,4,Male
21,35000,81,3,3,Male
20,86000,6,1,1,Female
23,59000,77,0,2,Female
31,38000,40,2,6,Female
22,58000,76,0,2,Female
35,31000,6,1,3,Female
23,84000,94,1,3,Female
64,97000,3,0,3,Male
30,98000,72,1,4,Female
67,7000,14,1,3,Male
35,93000,99,4,4,Female
58,80000,15,0,5,Female
24,91000,77,1,1,Female
37,19000,13,0,1,Male
22,51000,79,1,2,Male
35,29000,35,9,5,Female
20,89000,66,1,6,Male
52,20000,29,1,4,Male
35,62000,98,0,1,Female
35,96000,35,12,1,Male
25,4000,73,3,4,Male
46,42000,5,13,2,Female
31,71000,73,5,2,Male
54,67000,14,1,3,Female
29,52000,82,1,3,Male
45,68000,32,9,8,Female
35,78000,61,1,3,Male
40,18000,31,0,1,Female
23,20000,87,5,4,Female
60,39000,4,0,3,Male
21,34000,73,1,2,Female
53,59000,4,1,3,Male
18,62000,92,9,7,Male
49,91000,14,1,2,Female
21,95000,81,3,4,Female
42,14000,17,5,1,Female
30,62000,73,1,5,Female
36,9000,26,8,2,Female
20,69000,75,8,2,Female
65,25000,35,4,1,Female
24,85000,92,0,2,Male
48,22000,36,14,3,Male
31,33000,61,1,2,Female
49,72000,28,8,1,Female
24,3000,65,4,2,Female
50,52000,55,0,4,Female
27,71000,47,12,1,Female
29,78000,42,0,4,Female
31,25000,42,1,1,Female
49,88000,52,1,2,Female
33,97000,60,1,2,Male
31,74000,54,1,1,Female
59,68000,60,0,2,Male
50,18000,45,1,1,Female
47,95000,41,14,2,Male
51,71000,50,9,4,Female
69,8000,46,8,2,Male
27,57000,51,1,3,Female
53,89000,46,1,6,Male
70,84000,56,0,2,Male
19,50000,55,9,2,Male
67,50000,52,0,3,Female
54,48000,59,1,2,Female
63,63000,51,7,2,Male
18,9000,59,0,2,Male
43,3000,50,0,2,Female
68,82000,48,8,4,Female
19,81000,59,0,4,Male
32,97000,47,2,2,Female
70,91000,55,8,2,Male
47,9000,42,8,2,Female
60,44000,49,0,5,Female
60,10000,56,8,4,Female
59,89000,47,0,4,Male
26,49000,54,0,3,Male
45,67000,53,0,2,Female
40,99000,48,4,3,Male
23,97000,52,2,2,Female
49,98000,42,1,1,Female
57,52000,51,0,4,Male
38,61000,55,6,3,Male
67,120000,41,8,1,Male
46,34000,44,8,4,Female
21,24000,57,1,3,Female
48,31000,46,7,5,Male
55,11000,58,0,3,Female
22,55000,55,5,2,Female
34,76000,60,7,3,Female
50,56000,46,0,2,Female
68,46000,55,0,3,Female
18,36000,41,1,4,Male
48,88000,49,1,2,Male
40,31000,40,1,2,Female
32,24000,42,0,1,Female
24,80000,52,10,1,Male
47,2000,47,0,1,Female
27,67000,50,0,2,Female
48,58000,42,1,2,Male
20,80000,49,3,3,Male
23,65000,41,0,4,Female
49,4000,48,1,7,Female
67,98000,59,0,3,Male
26,52000,55,0,5,Male
49,86000,56,10,2,Male
21,82000,42,1,2,Female
66,43000,50,3,2,Female
54,78000,46,1,1,Male
68,13000,43,6,5,Male
66,13000,48,9,3,Male
65,34000,52,4,4,Male
19,25000,54,0,1,Female
38,71000,42,1,5,Female
19,2000,46,1,1,Male
18,97000,48,0,3,Female
19,51000,50,8,4,Female
63,9000,43,1,1,Female
49,79000,59,0,2,Female
51,84000,43,2,7,Female
50,87000,57,1,2,Female
27,36000,56,0,3,Male
38,50000,40,1,4,Female
40,97000,58,9,4,Female
39,6000,91,1,3,Male
